AUTHENTICATION_BETA_REGION,Bêta=0
Button/Tooltip/InterceptorUnit,Drones de combat qui mitraillent automatiquement la cible de leur porte-nefs. Les porte-nefs ne peuvent pas attaquer sans Intercepteur.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c> /// Combat drones that automatically strafe their Carrier's target. Carriers may not attack without Interceptors.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>=11051
Button/Tooltip/JetPack,Les faucheurs peuvent sauter pour monter et descendre des falaises. /// Reapers can jump up and down cliffs.  =11052
Button/Tooltip/KhaydarinMonolithACGluescreenDummy,Bâtiment défensif surpuissant. Il est doté d’une portée et de dégâts extrêmes, mais coûte très cher et attaque lentement.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes. /// Extremely powerful defensive structure. Has superior range and damage, but is very expensive and attacks slowly.<n/><n/><c val="ffff8a">Can attack ground and air units.=11053
Button/Tooltip/Lair,Version évoluée de la couveuse, qui permet de nouvelles améliorations et la production de bâtiments supplémentaires. Crée également toutes les unités zergs et reçoit les ressources collectées.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Vigilant à partir d’un dominant=11054
Button/Tooltip/Land,Fait atterrir le bâtiment sur l’emplacement ciblé, et lui permet à nouveau de construire des unités, rechercher des améliorations ou utiliser ses capacités. /// Lands the structure at a target location, allowing it to once again produce units, research upgrades, and use abilities.=11055
Button/Tooltip/Larva,Se transforme en unité zerg. /// Morphs into Zerg units.=11056
Button/Tooltip/Leech,Draine toute l’énergie d’une unité ennemie et la donne à l’infestateur. /// Drains all of the energy from an enemy unit and gives it to the Infestor.=11057
Button/Tooltip/LeviathanACGluescreenDummy,Monstruosité volante massive qui domine les cieux.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c> /// Massive flying monstrosity that dominates the skies.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>=11058
Button/Tooltip/Lift,Transforme le bâtiment en unité aérienne lente pour le redéployer. Il sera impossible de produire des unités, rechercher des améliorations ou utiliser des capacités spéciales avant l’atterrissage. /// Transforms structure into a slow air unit for redeployment. May not produce units, research upgrades, or use abilities until it has landed.=11059
Button/Tooltip/Load,Charge les unités dans le ver de Nydus. /// Loads units into the Nydus Worm.=11060
Button/Tooltip/Lower,Abaisse le bâtiment, ce qui ouvre le passage aux unités terrestres. /// Lowers the structure, allowing ground units to move across it.=11061
Button/Tooltip/LurkerACGluescreenDummy,Unité embusquée anti-terrestre. Dispose d’une volée d’aiguillons qui blesse tous les ennemis présents dans sa ligne de tir.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.<n/>Doit s’enfouir pour attaquer.</c>=11062
Button/Tooltip/MULE,Prototype d’unité de récolte. Récolte le minerai plus vite que les VCS normaux. Les systèmes du MULE ont une durée de vie de <d time="90"/> secondes.=11063
Button/Tooltip/Marauder,Unité d’assaut lourde.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c> /// Heavy assault infantry.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>=11064
Button/Tooltip/MarauderACGluescreenDummy,Unité d’assaut lourde.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11065
Button/Tooltip/MarauderCommandoACGluescreenDummy,Unité d’assaut lourde d’élite.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11066
Button/Tooltip/MarauderMengskACGluescreenDummy,Unité d’assaut lourde de la Garde impériale.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11067
Button/Tooltip/Marine,Infanterie polyvalente.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c> /// General-purpose infantry.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>=11068
Button/Tooltip/MarineACGluescreenDummy,Infanterie polyvalente.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=11069
Button/Tooltip/MassRecall,Téléporte toutes les unités du joueur dans la zone ciblée vers le lanceur. /// Recalls all units owned by the player in the target area to the Caster.=11070
Button/Tooltip/MasteryAbathurBiomassRefund,Les unités tuées ont davantage de chances de restituer toute leur biomasse à leur mort.=11071
Button/Tooltip/MasteryAbathurDoubleBiomass,Les bâtiments et unités adverses ont des chances d’abandonner le double de biomasse. /// Enemy units and structures have a chance to drop double the amount of Biomass.=11072
Button/Tooltip/MasteryAbathurMendHeal,Prolonge les soins périodiques de Guérison.=11073
Button/Tooltip/MasteryAbathurSymbioteCDR,Réduit le temps de recharge des capacités Piqûre et Carapace du symbiote. /// Reduces the cooldown of the Symbiote’s Stab and Shell abilities.=11074
Button/Tooltip/MasteryAbathurSymbioteCarapace,Augmente les dégâts infligés et absorbés par les capacités du symbiote.=11075
Button/Tooltip/MasteryAbathurTechFastBuild,Réduit les temps de mutation des bâtiments et de recherche des évolutions.=11076
Button/Tooltip/MasteryAbathurToxicNestCharge,Augmente le nombre maximal de charges de Nid toxique et réduit leur temps de recharge.<n/>Chaque point réduit le temps de recharge de 1%.=11077
Button/Tooltip/MasteryAbathurToxicNestDamageAndRespawn,Augmente les dégâts de Nid toxique. /// Increases the damage of Toxic Nests.=11078
Button/Tooltip/MasteryAlarakAutoAttackDamage,Augmente les dégâts d’attaque d’Alarak.=11079
Button/Tooltip/MasteryAlarakChronoBoostSpeed,Augmente le bonus à la vitesse de Poussée temporelle.=11080
Button/Tooltip/MasteryAlarakCocoonTimer,Réduit les délais de transfert initial et de réapparition d’Alarak.=11081
Button/Tooltip/MasteryAlarakDeathFleetCDR,Réduit le temps de recharge d’Invoquer la flotte de mort. N’affecte pas le délai de recharge du début de mission.=11082
Button/Tooltip/MasteryAlarakEmpowerMeSlavesDuration,Augmente la durée de Renforcement.=11083
Button/Tooltip/MasteryAlarakInstantRevive,Confère à Alarak une chance d’être ranimé instantanément à sa mort. Cet effet ne peut se produire qu’une fois toutes les 5 minutes.=11084
Button/Tooltip/MasteryAlarakOverchargeShieldsDamage,Augmente la capacité d’absorption des dégâts de Surchage de bâtiment et la vitesse d’attaque de ses armes temporaires.=11085
Button/Tooltip/MasteryAlarakUnitAttackSpeed,Augmente la vitesse d’attaque des unités de combat d’Alarak. /// Increases the attack speed of Alarak’s combat units.=11086
Button/Tooltip/MasteryArtanisChronoBoost,Augmente le bonus de vitesse de Poussée temporelle.=11087
Button/Tooltip/MasteryArtanisEnergyRegenCooldown,Augmente la régénération d’énergie et réduit le temps de recharge des capacités des unités d’Artanis. /// Increases the energy regeneration and ability cooldown reduction of all of Artanis' units.=11088
Button/Tooltip/MasteryArtanisGuardianShellHeal,Cuirasse protectrice rend des points de vie et de bouclier supplémentaires à l’activation. /// Guardian Shell restores additional life and shields when triggered.=11089
Button/Tooltip/MasteryArtanisShieldOvercharge,Augmente la durée et l’absorption des dégâts de Surcharge de bouclier.=11090
Button/Tooltip/MasteryArtanisShieldOverchargeCDR,Réduit le temps de recharge de Surcharge de bouclier. N’affecte pas le temps de recharge du début de mission.=11091
Button/Tooltip/MasteryArtanisSoAPowerFieldHaste,Les unités d’Artanis voient leurs vitesses d’attaque et de déplacement, leur régénération d’énergie et leur réduction du temps de recharge augmenter pendant un court instant après s’être transférées. /// Artanis' units temporarily gain increased attack and movement speed, cooldown reduction, and energy regeneration after warping in.=11092
Button/Tooltip/MasteryArtanisStartingAndMaxSoAEnergy,Augmente l’énergie initiale et maximale de la Lance d’Adun.=11093
Button/Tooltip/MasteryArtanisWarpChargeCooldown,Diminue le temps de recharge de la porte de transfert, du complexe robotique de transfert et de la porte spatiale de transfert. /// Decreases the cooldown for the Warp Gate, Warp Robotics Facility, and Warp Stargate.=11094
Button/Tooltip/MasteryDehakaAttackSpeed,Augmente la vitesse d’attaque de Dehaka. /// Increases Dehaka’s attack speed.=11095
Button/Tooltip/MasteryDehakaBossTimedLife,Augmente la durée d’activité des chefs de meute appelés.=11096
Button/Tooltip/MasteryDehakaConsumeDuration,Augmente la durée des bonus passifs conférés par Assimiler. /// Increases the duration of passive abilities gained from Devour.=11097
Button/Tooltip/MasteryDehakaConsumeHealing,Augmente le montant de points de vie rendus en assimilant des ennemis (effet cumulatif). /// Increases the health gained from devouring enemies (multiplicative).=11098
Button/Tooltip/MasteryDehakaGeneMutation,Augmente les chances de mutation génétique des unités pendant un affrontement primordial (effet additif).=11099
Button/Tooltip/MasteryDehakaPrimalWurmCDR,Réduit le temps de recharge de la capacité Invoquer un ver primordial supérieur.=11100
Button/Tooltip/MasteryFenixChampionAttackSpeed,Augmente la vitesse d’attaque des champions.=11101
Button/Tooltip/MasteryFenixChampionLifeShieldBuff,Augmente les points de vie et de bouclier des champions.=11102
Button/Tooltip/MasteryFenixChronoBoostExtra,Augmente le bonus à la vitesse de Poussée temporelle.=11103
Button/Tooltip/MasteryFenixExtraStartingSupply,Augmente le ravitaillement de départ. /// Increases starting supply.=11104
Button/Tooltip/MasteryFenixSuitAttackSpeed,Augmente la vitesse d’attaque des armures de Fénix.=11105
Button/Tooltip/MasteryFenixSuitEnergyRegen,Augmente la régénération d’énergie des armures désactivées.=11106
Button/Tooltip/MasteryHornerAirStrikeDistance,Augmente la distance de parcours et la durée d’Appel de la flotte de Matt Horner. /// Increases the travel distance and duration of Horner's Call in the Fleet ability.=11107
Button/Tooltip/MasteryHornerBetterDeathRattle,Chances d’obtenir un effet de mort amélioré. Les effets de mort améliorés sont, en général, deux fois plus puissants que les effets de mort standard. /// Grants a chance of an improved death effect. Improved death effects are generally twice as powerful as standard death effects.=11108
Button/Tooltip/MasteryHornerBomberRadius,Augmente la zone d’impact des frappes du bombardier et le rayon d’effet de Réservoir de napalm. /// Increases the area of effect radius of the Strike Fighter's initial impact and its Napalm Payload.=11109
Button/Tooltip/MasteryHornerDoubleSalvageChance,Confère une chance de doubler la quantité de ressources recyclées par les commandants alliés. /// Grants a chance to double salvage drop values for friendly commanders.=11110
Button/Tooltip/MasteryHornerLPSHeal,Résistance à l’effort augmente davantage la régénération de vie des unités de Matt Horner.=11111
Button/Tooltip/MasteryHornerMSOBonus,Les unités de combat de Matt Horner augmentent davantage la vitesse d’attaque des unités de Mira Han, et les unités de Mira Han augmentent davantage la vie des unités de Matt Horner.=11112
Button/Tooltip/MasteryHornerMagMineUpgrades,Augmente le nombre maximal de charges des mines magnétiques, et réduit leur temps de recharge et d’armement. =11113
Button/Tooltip/MasteryKaraxBuildingVital,Augmente les points de vie et de bouclier des bâtiments de Karax. /// Increases the life and shields of Karax's structures.=11114
Button/Tooltip/MasteryKaraxChronoBoostSpeed,Augmente le bonus de vitesse de Poussée temporelle.=11115
Button/Tooltip/MasteryKaraxRepairBeamHeal,Augmente la vitesse du rayon réparateur.=11116
Button/Tooltip/MasteryKaraxSoAChronoRegen,La Lance d’Adun récupère un montant d’énergie fixe pendant que dure Vague temporelle. /// Regenerates a set amount of energy for the Spear of Adun over the duration of Chrono Wave.=11117
Button/Tooltip/MasteryKaraxStartingAndMaxSoAEnergy,Augmente l’énergie initiale et maximale de la Lance d’Adun.=11118
Button/Tooltip/MasteryKaraxUnitCost,Réduit le coût en ressources des unités de combat de Karax. /// Reduces the resource cost of Karax's combat units. =11119
Button/Tooltip/MasteryKaraxUnitVital,Augmente les points de vie et de bouclier des unités de combat de Karax.=11120
Button/Tooltip/MasteryKerriganArmyGasCost,Réduit le coût en gaz vespène des unités de combat de Kerrigan. /// Reduces the Vespene Gas cost of Kerrigan's combat units. =11121
Button/Tooltip/MasteryKerriganAssimilationAuraDuration,Augmente la durée d’Aura d’assimilation.=11122
Button/Tooltip/MasteryKerriganAutoAttackDamage,Augmente les dégâts des attaques de Kerrigan.=11123
Button/Tooltip/MasteryKerriganCocoonTimer,Réduit les temps d’apparition initiale et de réapparition de Kerrigan.=11124
Button/Tooltip/MasteryKerriganEnergyRegen,Augmente la régénération d’énergie de Kerrigan.=11125
Button/Tooltip/MasteryKerriganImmobilizationDamage,Augmente les dégâts de Vague immobilisante.=11126
Button/Tooltip/MasteryKerriganInstantRevive,Confère à Kerrigan une chance d’être ranimée instantanément à sa mort. Cet effet ne peut se produire qu’une fois toutes les 5 minutes.=11127
Button/Tooltip/MasteryKerriganLarvaRate,Augmente la fréquence de génération des larves.=11128
Button/Tooltip/MasteryKerriganMutatingCarapaceLifeDegradation,Ralentit la perte progressive du bonus aux points de vie conféré par Carapace mutante.=11129
Button/Tooltip/MasteryKerriganPrimarySpeedDamage,Augmente les dégâts de Translation psionique et d’Attaque bondissante ainsi que la vitesse d’attaque de Kerrigan. /// Increases the damage of Kerrigan's Leaping Strike and Psionic Shift, and increases Kerrigan's attack speed.=11130
