Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Sound/Name/Doodad_OuthouseLaunchStage2,Doodad_OuthouseLaunchStage2 /// Doodad_OuthouseLaunchStage2=10733
Sound/Name/Doodad_PipeCap00,Doodad_PipeCap00 /// Doodad_PipeCap00=10734
Sound/Name/Doodad_PipeCap03,Doodad_PipeCap03 /// Doodad_PipeCap03=10735
Sound/Name/Doodad_PipeGroundBigPouring,Doodad_PipeGroundBigPouring /// Doodad_PipeGroundBigPouring=10736
Sound/Name/Doodad_PortZionCompactor,Doodad_PortZionCompactor /// Doodad_PortZionCompactor=10737
Sound/Name/Doodad_PortZionCrusherDoodadStandWorkEnd,Doodad_PortZionCrusherDoodadStandWorkEnd /// Doodad_PortZionCrusherDoodadStandWorkEnd=10738
Sound/Name/Doodad_PortZionCrusherDoodadStandWorkStart,Doodad_PortZionCrusherDoodadStandWorkStart /// Doodad_PortZionCrusherDoodadStandWorkStart=10739
Sound/Name/Doodad_PortZionCrusherDoodadWorkImpact,Doodad_PortZionCrusherDoodadWorkImpact /// Doodad_PortZionCrusherDoodadWorkImpact=10740
Sound/Name/Doodad_PortZionCrusherDoodadWorkServo,Doodad_PortZionCrusherDoodadWorkServo /// Doodad_PortZionCrusherDoodadWorkServo=10741
Sound/Name/Doodad_PortZionScrapConveyorBelt,Doodad_PortZionScrapConveyorBelt /// Doodad_PortZionScrapConveyorBelt=10742
Sound/Name/Doodad_PortZionTower09,Doodad_PortZionTower09 /// Doodad_PortZionTower09=10743
Sound/Name/Doodad_PowerLine,Doodad_PowerLine /// Doodad_PowerLine=10744
Sound/Name/Doodad_RedstoneFlameGeyserStand,Doodad_RedstoneFlameGeyserStand /// Doodad_RedstoneFlameGeyserStand=10745
Sound/Name/Doodad_RedstoneFlameGeyserStand01Start,Doodad_RedstoneFlameGeyserStand01Start /// Doodad_RedstoneFlameGeyserStand01Start=10746
Sound/Name/Doodad_Searchlight02,Doodad_Searchlight02 /// Doodad_Searchlight02=10747
Sound/Name/Doodad_SecurityGateDiagonalClose,Doodad_SecurityGateDiagonalClose /// Doodad_SecurityGateDiagonalClose=10748
Sound/Name/Doodad_SecurityGateDiagonalImpact,Doodad_SecurityGateDiagonalImpact /// Doodad_SecurityGateDiagonalImpact=10749
Sound/Name/Doodad_SecurityGateDiagonalOpen,Doodad_SecurityGateDiagonalOpen /// Doodad_SecurityGateDiagonalOpen=10750
Sound/Name/Doodad_SpacePlatformCliffDoodadLarge01Impact,Doodad_SpacePlatformCliffDoodadLarge01Impact /// Doodad_SpacePlatformCliffDoodadLarge01Impact=10751
Sound/Name/Doodad_SpacePlatformCliffDoodadLarge01Steam,Doodad_SpacePlatformCliffDoodadLarge01Steam /// Doodad_SpacePlatformCliffDoodadLarge01Steam=10752
Sound/Name/Doodad_SpacePlatformCliffDoodadLargeHeatEngines,Doodad_SpacePlatformCliffDoodadLargeHeatEngines /// Doodad_SpacePlatformCliffDoodadLargeHeatEngines=10753
Sound/Name/Doodad_SpacePlatformCliffDoodadMedium04,Doodad_SpacePlatformCliffDoodadMedium04 /// Doodad_SpacePlatformCliffDoodadMedium04=10754
Sound/Name/Doodad_SpacePlatformCreepedDoodads03_Steam,Doodad_SpacePlatformCreepedDoodads03_Steam /// Doodad_SpacePlatformCreepedDoodads03_Steam=10755
Sound/Name/Doodad_SpacePlatformCurtain,Doodad_SpacePlatformCurtain /// Doodad_SpacePlatformCurtain=10756
Sound/Name/Doodad_SpacePlatformFanLarge,Doodad_SpacePlatformFanLarge /// Doodad_SpacePlatformFanLarge=10757
Sound/Name/Doodad_SpacePlatformGenerator00,Doodad_SpacePlatformGenerator00 /// Doodad_SpacePlatformGenerator00=10758
Sound/Name/Doodad_SpacePlatformGenerator01,Doodad_SpacePlatformGenerator01 /// Doodad_SpacePlatformGenerator01=10759
Sound/Name/Doodad_SpacePlatformMonitor,Doodad_SpacePlatformMonitor /// Doodad_SpacePlatformMonitor=10760
Sound/Name/Doodad_SpacePlatformRadar,Doodad_SpacePlatformRadar /// Doodad_SpacePlatformRadar=10761
Sound/Name/Doodad_SpacePlatformReactor,Doodad_SpacePlatformReactor /// Doodad_SpacePlatformReactor=10762
Sound/Name/Doodad_SpacePlatformSatellite,Doodad_SpacePlatformSatellite /// Doodad_SpacePlatformSatellite=10763
Sound/Name/Doodad_SpacePlatformTower02,Doodad_SpacePlatformTower02 /// Doodad_SpacePlatformTower02=10764
Sound/Name/Doodad_SpacePlatformVents,Doodad_SpacePlatformVents /// Doodad_SpacePlatformVents=10765
Sound/Name/Doodad_SparkBurstLong,Doodad_SparkBurstLong /// Doodad_SparkBurstLong=10766
Sound/Name/Doodad_SparkBurstShort,Doodad_SparkBurstShort /// Doodad_SparkBurstShort=10767
Sound/Name/Doodad_SpiresDeath,Doodad_SpiresDeath /// Doodad_SpiresDeath=10768
Sound/Name/Doodad_SteamBurstLarge,Doodad_SteamBurstLarge /// Doodad_SteamBurstLarge=10769
Sound/Name/Doodad_SteamBurstShort,Doodad_SteamBurstShort /// Doodad_SteamBurstShort=10770
Sound/Name/Doodad_SteamLoopLarge,Doodad_SteamLoopLarge /// Doodad_SteamLoopLarge=10771
Sound/Name/Doodad_SteamLoopSmall,Doodad_SteamLoopSmall /// Doodad_SteamLoopSmall=10772
Sound/Name/Doodad_StreetlightExplode,Doodad_StreetlightExplode /// Doodad_StreetlightExplode=10773
Sound/Name/Doodad_SuperCraneEngineLoop,Doodad_SuperCraneEngineLoop /// Doodad_SuperCraneEngineLoop=10774
Sound/Name/Doodad_SuperCraneSpellA,Doodad_SuperCraneSpellA /// Doodad_SuperCraneSpellA=10775
Sound/Name/Doodad_SuperCraneSpellB,Doodad_SuperCraneSpellB /// Doodad_SuperCraneSpellB=10776
Sound/Name/Doodad_SuperCraneSpellCJunkGrab,Doodad_SuperCraneSpellCJunkGrab /// Doodad_SuperCraneSpellCJunkGrab=10777
Sound/Name/Doodad_SuperCraneSpellD,Doodad_SuperCraneSpellD /// Doodad_SuperCraneSpellD=10778
Sound/Name/Doodad_SuperCraneSpellEJunkImpact,Doodad_SuperCraneSpellEJunkImpact /// Doodad_SuperCraneSpellEJunkImpact=10779
Sound/Name/Doodad_SuperCraneStand02A,Doodad_SuperCraneStand02A /// Doodad_SuperCraneStand02A=10780
Sound/Name/Doodad_SuperCraneStand02B,Doodad_SuperCraneStand02B /// Doodad_SuperCraneStand02B=10781
Sound/Name/Doodad_SuperCraneStand02Rotate,Doodad_SuperCraneStand02Rotate /// Doodad_SuperCraneStand02Rotate=10782
Sound/Name/Doodad_SuperCraneStandA,Doodad_SuperCraneStandA /// Doodad_SuperCraneStandA=10783
Sound/Name/Doodad_SuperCraneStandB,Doodad_SuperCraneStandB /// Doodad_SuperCraneStandB=10784
Sound/Name/Doodad_TerrainObjectCastanarBrutaliskCageStandWork,Doodad_TerrainObjectCastanarBrutaliskCageStandWork /// Doodad_TerrainObjectCastanarBrutaliskCageStandWork=10785
Sound/Name/Doodad_TerranBuildingFireLarge,Doodad_TerranBuildingFireLarge /// Doodad_TerranBuildingFireLarge=10786
Sound/Name/Doodad_TrafficSignalExplode,Doodad_TrafficSignalExplode /// Doodad_TrafficSignalExplode=10787
Sound/Name/Doodad_TrainDockingDoorClose,Doodad_TrainDockingDoorClose /// Doodad_TrainDockingDoorClose=10788
Sound/Name/Doodad_TrainDockingDoorOpen,Doodad_TrainDockingDoorOpen /// Doodad_TrainDockingDoorOpen=10789
Sound/Name/Doodad_UnbuildablePlates_Death,Doodad_UnbuildablePlates_Death /// Doodad_UnbuildablePlates_Death=10790
Sound/Name/Doodad_ValhallaGenerator,Doodad_ValhallaGenerator /// Doodad_ValhallaGenerator=10791
Sound/Name/Doodad_VespeneTank,Doodad_VespeneTank /// Doodad_VespeneTank=10792
Sound/Name/Doodad_WaterfallMedium,Doodad_WaterfallMedium /// Doodad_WaterfallMedium=10793
Sound/Name/Doodad_WaterfallSmall,Doodad_WaterfallSmall /// Doodad_WaterfallSmall=10794
Sound/Name/Doodad_WindTurbineStand01,Doodad_WindTurbineStand01 /// Doodad_WindTurbineStand01=10795
Sound/Name/Doodad_WreckedJackal,Doodad_WreckedJackal /// Doodad_WreckedJackal=10796
Sound/Name/Doodad_XelNagaHullReactorSmallStand,Doodad_XelNagaHullReactorSmallStand /// Doodad_XelNagaHullReactorSmallStand=10797
Sound/Name/Doodad_ZergSpire,Doodad_ZergSpire /// Doodad_ZergSpire=10798
Sound/Name/Drone_Attack,Drone_Attack /// Drone_Attack=10799
Sound/Name/Drone_AttackImpact,Drone_AttackImpact /// Drone_AttackImpact=10800
Sound/Name/Drone_AttackLaunch,Drone_AttackLaunch /// Drone_AttackLaunch=10801
Sound/Name/Drone_Death,Drone_Death /// Drone_Death=10802
Sound/Name/Drone_Error,Drone_Error /// Drone_Error=10803
Sound/Name/Drone_Explode,Drone_Explode /// Drone_Explode=10804
Sound/Name/Drone_Mine,Drone_Mine /// Drone_Mine=10805
Sound/Name/Drone_Pissed,Drone_Pissed /// Drone_Pissed=10806
Sound/Name/Drone_Ready,Drone_Ready /// Drone_Ready=10807
Sound/Name/Drone_What,Drone_What /// Drone_What=10808
Sound/Name/Drone_Yes,Drone_Yes /// Drone_Yes=10809
Sound/Name/Egg_Birth,Egg_Birth /// Egg_Birth=10810
Sound/Name/Egg_Death,Egg_Death /// Egg_Death=10811
Sound/Name/Egg_Explode,Egg_Explode /// Egg_Explode=10812
Sound/Name/Egg_Pissed,Egg_Pissed /// Egg_Pissed=10813
Sound/Name/Egg_Ready,Egg_Ready /// Egg_Ready=10814
Sound/Name/Egg_What,Egg_What /// Egg_What=10815
Sound/Name/Emitter_JungleBirdCalls,Emitter_JungleBirdCalls /// Emitter_JungleBirdCalls=10816
Sound/Name/Emitter_JungleBirdLoop,Emitter_JungleBirdLoop /// Emitter_JungleBirdLoop=10817
Sound/Name/Emitter_JungleFrogLoop,Emitter_JungleFrogLoop /// Emitter_JungleFrogLoop=10818
Sound/Name/Emitter_JungleInsectLoop,Emitter_JungleInsectLoop /// Emitter_JungleInsectLoop=10819
Sound/Name/Emitter_Lava,Emitter_Lava /// Emitter_Lava=10820
Sound/Name/Emitter_WaterCalm,Emitter_WaterCalm /// Emitter_WaterCalm=10821
Sound/Name/EngineeringBay_Explode,EngineeringBay_Explode /// EngineeringBay_Explode=10822
Sound/Name/EngineeringBay_Ready,EngineeringBay_Ready /// EngineeringBay_Ready=10823
Sound/Name/EngineeringBay_What,EngineeringBay_What /// EngineeringBay_What=10824
Sound/Name/EvolutionChamber_Explode,EvolutionChamber_Explode /// EvolutionChamber_Explode=10825
Sound/Name/EvolutionChamber_Ready,EvolutionChamber_Ready /// EvolutionChamber_Ready=10826
Sound/Name/EvolutionChamber_What,EvolutionChamber_What /// EvolutionChamber_What=10827
Sound/Name/Extractor_Explode,Extractor_Explode /// Extractor_Explode=10828
Sound/Name/Extractor_Ready,Extractor_Ready /// Extractor_Ready=10829
Sound/Name/Extractor_What,Extractor_What /// Extractor_What=10830
Sound/Name/Factory_Explode,Factory_Explode /// Factory_Explode=10831
Sound/Name/Factory_Land,Factory_Land /// Factory_Land=10832
Sound/Name/Factory_Movement,Factory_Movement /// Factory_Movement=10833
Sound/Name/Factory_Ready,Factory_Ready /// Factory_Ready=10834
Sound/Name/Factory_What,Factory_What /// Factory_What=10835
Sound/Name/FleetBeacon_Explode,FleetBeacon_Explode /// FleetBeacon_Explode=10836
Sound/Name/FleetBeacon_Ready,FleetBeacon_Ready /// FleetBeacon_Ready=10837
Sound/Name/FleetBeacon_What,FleetBeacon_What /// FleetBeacon_What=10838
Sound/Name/Forallchallenges00001,Forallchallenges00001 /// Forallchallenges00001=10839
Sound/Name/Forallchallenges00002,Forallchallenges00002 /// Forallchallenges00002=10840
Sound/Name/Forallchallenges00003,Forallchallenges00003 /// Forallchallenges00003=10841
Sound/Name/Forallchallenges00004,Forallchallenges00004 /// Forallchallenges00004=10842
Sound/Name/ForgeWhat,Forge_What /// Forge_What=10843
Sound/Name/Forge_Explode,Forge_Explode /// Forge_Explode=10844
Sound/Name/Forge_Ready,Forge_Ready /// Forge_Ready=10845
Sound/Name/Frenzy_Enable,Frenzy_Enable /// Frenzy_Enable=10846
Sound/Name/FusionCore_Explode,FusionCore_Explode /// FusionCore_Explode=10847
Sound/Name/FusionCore_Ready,FusionCore_Ready /// FusionCore_Ready=10848
Sound/Name/FusionCore_What,FusionCore_What /// FusionCore_What=10849
Sound/Name/G_UI_Accept01,=10850
Sound/Name/G_UI_Add01,=10851
Sound/Name/G_UI_Collaps01,=10852
Sound/Name/G_UI_Decline01,=10853
Sound/Name/G_UI_Invrec01,=10854
Sound/Name/G_UI_Invsent01,=10855
Sound/Name/G_UI_Leaver01,=10856
Sound/Name/G_UI_Open01,=10857
Sound/Name/G_UI_Switch01,=10858
Sound/Name/G_UI_Whisper01,=10859
Sound/Name/GameMusicProt,Game Music - Protoss /// Game Music - Protoss=10860
Sound/Name/GameMusicProtoss_ALL,게임 음악 - 프로토스 모두 /// Game Music - Protoss_ALL=10861
Sound/Name/GameMusicProtoss_SCI,게임 음악 - 프로토스 SCI /// Game Music - Protoss_SCI=10862
Sound/Name/GameMusicTerr,Game Music - Terran /// Game Music - Terran=10863
Sound/Name/GameMusicTerran_ALL,게임 음악 - 테란 모두 /// Game Music - Terran_ALL=10864
Sound/Name/GameMusicTerran_SCI,게임 음악 - 테란 SCI /// Game Music - Terran_SCI=10865
Sound/Name/GameMusicZerg,Game Music - Zerg /// Game Music - Zerg=10866
Sound/Name/GameMusicZerg_ALL,게임 음악 - 저그 모두 /// Game Music - Zerg_ALL=10867
Sound/Name/GameMusicZerg_SCI,게임 음악 - 저그 SCI /// Game Music - Zerg_SCI=10868
Sound/Name/GarageLarge_Explode,GarageLarge_Explode /// GarageLarge_Explode=10869
Sound/Name/Gateway_Explode,Gateway_Explode /// Gateway_Explode=10870
Sound/Name/Gateway_MorphToWarpgate,Gateway_MorphToWarpgate /// Gateway_MorphToWarpgate=10871
Sound/Name/Gateway_Ready,Gateway_Ready /// Gateway_Ready=10872
Sound/Name/Gateway_What,Gateway_What /// Gateway_What=10873
Sound/Name/GenericphrasesAdjutant00002,GenericphrasesAdjutant00002 /// GenericphrasesAdjutant00002=10874
Sound/Name/GenericphrasesAdjutant00003,GenericphrasesAdjutant00003 /// GenericphrasesAdjutant00003=10875
Sound/Name/GenericphrasesAdjutant00004,GenericphrasesAdjutant00004 /// GenericphrasesAdjutant00004=10876
Sound/Name/GenericphrasesAdjutant00005,GenericphrasesAdjutant00005 /// GenericphrasesAdjutant00005=10877
Sound/Name/GenericphrasesAdjutant00006,GenericphrasesAdjutant00006 /// GenericphrasesAdjutant00006=10878
Sound/Name/GenericphrasesAdjutant00007,GenericphrasesAdjutant00007 /// GenericphrasesAdjutant00007=10879
Sound/Name/GenericphrasesAdjutant00008,GenericphrasesAdjutant00008 /// GenericphrasesAdjutant00008=10880
Sound/Name/GenericphrasesAdjutant00009,GenericphrasesAdjutant00009 /// GenericphrasesAdjutant00009=10881
Sound/Name/GenericphrasesAdjutant00010,GenericphrasesAdjutant00010 /// GenericphrasesAdjutant00010=10882
Sound/Name/GenericphrasesAdjutant00011,GenericphrasesAdjutant00011 /// GenericphrasesAdjutant00011=10883
Sound/Name/GenericphrasesAdjutant00012,GenericphrasesAdjutant00012 /// GenericphrasesAdjutant00012=10884
Sound/Name/GenericphrasesAdjutant00013,GenericphrasesAdjutant00013 /// GenericphrasesAdjutant00013=10885
Sound/Name/GenericphrasesAdjutant00014,GenericphrasesAdjutant00014 /// GenericphrasesAdjutant00014=10886
Sound/Name/GenericphrasesAdjutant00015,GenericphrasesAdjutant00015 /// GenericphrasesAdjutant00015=10887
Sound/Name/GenericphrasesAdjutant00016,GenericphrasesAdjutant00016 /// GenericphrasesAdjutant00016=10888
Sound/Name/GenericphrasesAdjutant00017,GenericphrasesAdjutant00017 /// GenericphrasesAdjutant00017=10889
Sound/Name/GenericphrasesAdjutant00018,GenericphrasesAdjutant00018 /// GenericphrasesAdjutant00018=10890
Sound/Name/GenericphrasesAdjutant00019,GenericphrasesAdjutant00019 /// GenericphrasesAdjutant00019=10891
Sound/Name/GenericphrasesAdjutant00020,GenericphrasesAdjutant00020 /// GenericphrasesAdjutant00020=10892
Sound/Name/GenericphrasesAdjutant00021,GenericphrasesAdjutant00021 /// GenericphrasesAdjutant00021=10893
Sound/Name/GenericphrasesAdjutant00023,GenericphrasesAdjutant00023 /// GenericphrasesAdjutant00023=10894
Sound/Name/GenericphrasesAdjutant00051,GenericphrasesAdjutant00051 /// GenericphrasesAdjutant00051=10895
Sound/Name/GenericphrasesAdjutant00052,GenericphrasesAdjutant00052 /// GenericphrasesAdjutant00052=10896
Sound/Name/GenericphrasesAdjutant00058,GenericphrasesAdjutant00058 /// GenericphrasesAdjutant00058=10897
Sound/Name/GenericphrasesAdjutant00059,GenericphrasesAdjutant00059 /// GenericphrasesAdjutant00059=10898
Sound/Name/GenericphrasesAdjutant00064,GenericphrasesAdjutant00064 /// GenericphrasesAdjutant00064=10899
Sound/Name/GenericphrasesAdjutant00067,GenericphrasesAdjutant00067 /// GenericphrasesAdjutant00067=10900
Sound/Name/GenericphrasesExecutor00022,GenericphrasesExecutor00022 /// GenericphrasesExecutor00022=10901
Sound/Name/GenericphrasesExecutor00024,GenericphrasesExecutor00024 /// GenericphrasesExecutor00024=10902
Sound/Name/GenericphrasesExecutor00025,GenericphrasesExecutor00025 /// GenericphrasesExecutor00025=10903
Sound/Name/GenericphrasesExecutor00026,GenericphrasesExecutor00026 /// GenericphrasesExecutor00026=10904
Sound/Name/GenericphrasesExecutor00027,GenericphrasesExecutor00027 /// GenericphrasesExecutor00027=10905
Sound/Name/GenericphrasesExecutor00028,GenericphrasesExecutor00028 /// GenericphrasesExecutor00028=10906
Sound/Name/GenericphrasesExecutor00029,GenericphrasesExecutor00029 /// GenericphrasesExecutor00029=10907
Sound/Name/GenericphrasesExecutor00030,GenericphrasesExecutor00030 /// GenericphrasesExecutor00030=10908
Sound/Name/GenericphrasesExecutor00031,GenericphrasesExecutor00031 /// GenericphrasesExecutor00031=10909
Sound/Name/GenericphrasesExecutor00032,GenericphrasesExecutor00032 /// GenericphrasesExecutor00032=10910
Sound/Name/GenericphrasesExecutor00033,GenericphrasesExecutor00033 /// GenericphrasesExecutor00033=10911
Sound/Name/GenericphrasesExecutor00044,GenericphrasesExecutor00044 /// GenericphrasesExecutor00044=10912
Sound/Name/GenericphrasesExecutor00045,GenericphrasesExecutor00045 /// GenericphrasesExecutor00045=10913
Sound/Name/GenericphrasesExecutor00048,GenericphrasesExecutor00048 /// GenericphrasesExecutor00048=10914
Sound/Name/GenericphrasesExecutor00054,GenericphrasesExecutor00054 /// GenericphrasesExecutor00054=10915
Sound/Name/GenericphrasesExecutor00055,GenericphrasesExecutor00055 /// GenericphrasesExecutor00055=10916
Sound/Name/GenericphrasesExecutor00060,GenericphrasesExecutor00060 /// GenericphrasesExecutor00060=10917
Sound/Name/GenericphrasesExecutor00061,GenericphrasesExecutor00061 /// GenericphrasesExecutor00061=10918
Sound/Name/GenericphrasesExecutor00065,GenericphrasesExecutor00065 /// GenericphrasesExecutor00065=10919
Sound/Name/GenericphrasesExecutor00069,GenericphrasesExecutor00069 /// GenericphrasesExecutor00069=10920
Sound/Name/GenericphrasesQueen00034,GenericphrasesQueen00034 /// GenericphrasesQueen00034=10921
Sound/Name/GenericphrasesQueen00035,GenericphrasesQueen00035 /// GenericphrasesQueen00035=10922
Sound/Name/GenericphrasesQueen00036,GenericphrasesQueen00036 /// GenericphrasesQueen00036=10923
Sound/Name/GenericphrasesQueen00037,GenericphrasesQueen00037 /// GenericphrasesQueen00037=10924
Sound/Name/GenericphrasesQueen00038,GenericphrasesQueen00038 /// GenericphrasesQueen00038=10925
Sound/Name/GenericphrasesQueen00039,GenericphrasesQueen00039 /// GenericphrasesQueen00039=10926
Sound/Name/GenericphrasesQueen00040,GenericphrasesQueen00040 /// GenericphrasesQueen00040=10927
Sound/Name/GenericphrasesQueen00041,GenericphrasesQueen00041 /// GenericphrasesQueen00041=10928
Sound/Name/GenericphrasesQueen00042,GenericphrasesQueen00042 /// GenericphrasesQueen00042=10929
Sound/Name/GenericphrasesQueen00043,GenericphrasesQueen00043 /// GenericphrasesQueen00043=10930
Sound/Name/GenericphrasesQueen00046,GenericphrasesQueen00046 /// GenericphrasesQueen00046=10931
Sound/Name/GenericphrasesQueen00047,GenericphrasesQueen00047 /// GenericphrasesQueen00047=10932
Sound/Name/GenericphrasesQueen00049,GenericphrasesQueen00049 /// GenericphrasesQueen00049=10933
Sound/Name/GenericphrasesQueen00050,GenericphrasesQueen00050 /// GenericphrasesQueen00050=10934
Sound/Name/GenericphrasesQueen00053,GenericphrasesQueen00053 /// GenericphrasesQueen00053=10935
Sound/Name/GenericphrasesQueen00056,GenericphrasesQueen00056 /// GenericphrasesQueen00056=10936
Sound/Name/GenericphrasesQueen00057,GenericphrasesQueen00057 /// GenericphrasesQueen00057=10937
Sound/Name/GenericphrasesQueen00062,GenericphrasesQueen00062 /// GenericphrasesQueen00062=10938
Sound/Name/GenericphrasesQueen00063,GenericphrasesQueen00063 /// GenericphrasesQueen00063=10939
Sound/Name/GenericphrasesQueen00066,GenericphrasesQueen00066 /// GenericphrasesQueen00066=10940
Sound/Name/GenericphrasesQueen00068,GenericphrasesQueen00068 /// GenericphrasesQueen00068=10941
Sound/Name/Genericphrases_Adjutant_185,=10942
Sound/Name/Genericphrases_Executor_187,=10943
Sound/Name/Genericphrases_Executor_188,=10944
Sound/Name/Genericphrases_Queen_186,=10945
Sound/Name/Genericphrases_Queen_189,=10946
Sound/Name/GhostAcademy_Explode,GhostAcademy_Explode /// GhostAcademy_Explode=10947
Sound/Name/GhostAcademy_Ready,GhostAcademy_Ready /// GhostAcademy_Ready=10948
Sound/Name/GhostAcademy_What,GhostAcademy_What /// GhostAcademy_What=10949
Sound/Name/Ghost_Attack,Ghost_Attack /// Ghost_Attack=10950
Sound/Name/Ghost_AttackImpact,Ghost_AttackImpact /// Ghost_AttackImpact=10951
Sound/Name/Ghost_AttackLaunch,Ghost_AttackLaunch /// Ghost_AttackLaunch=10952
Sound/Name/Ghost_Attack_NP,Ghost_Attack_NP /// Ghost_Attack_NP=10953
Sound/Name/Ghost_BunkerAttackLaunch,Ghost_BunkerAttackLaunch /// Ghost_BunkerAttackLaunch=10954
Sound/Name/Ghost_CloakOff,Ghost_CloakOff /// Ghost_CloakOff=10955
Sound/Name/Ghost_CloakOn,Ghost_CloakOn /// Ghost_CloakOn=10956
Sound/Name/Ghost_CloakOnVO,Ghost_CloakOnVO /// Ghost_CloakOnVO=10957
Sound/Name/Ghost_Death,Ghost_Death /// Ghost_Death=10958
Sound/Name/Ghost_Death_NP,Ghost_Death_NP /// Ghost_Death_NP=10959
Sound/Name/Ghost_DropPodImpact,Ghost_DropPodImpact /// Ghost_DropPodImpact=10960
Sound/Name/Ghost_EMPAttackImpact,Ghost_EMPAttackImpact /// Ghost_EMPAttackImpact=10961
Sound/Name/Ghost_EMPAttackLaunch,Ghost_EMPAttackLaunch /// Ghost_EMPAttackLaunch=10962
Sound/Name/Ghost_EmpVO,Ghost_EmpVO /// Ghost_EmpVO=10963
Sound/Name/Ghost_EnergyLowVO,Ghost_EnergyLowVO /// Ghost_EnergyLowVO=10964
Sound/Name/Ghost_EnterBunkerVO,Ghost_EnterBunkerVO /// Ghost_EnterBunkerVO=10965
Sound/Name/Ghost_Evac,Ghost_Evac /// Ghost_Evac=10966
Sound/Name/Ghost_ExitBunkerVO,Ghost_ExitBunkerVO /// Ghost_ExitBunkerVO=10967
Sound/Name/Ghost_Explode,Ghost_Explode /// Ghost_Explode=10968
Sound/Name/Ghost_Help,Ghost_Help /// Ghost_Help=10969
Sound/Name/Ghost_NeuralParasiteAttack,Ghost_NeuralParasiteAttack /// Ghost_NeuralParasiteAttack=10970
Sound/Name/Ghost_NeuralParasiteDeath,Ghost_NeuralParasiteDeath /// Ghost_NeuralParasiteDeath=10971
Sound/Name/Ghost_NeuralParasiteReady,Ghost_NeuralParasiteReady /// Ghost_NeuralParasiteReady=10972
Sound/Name/Ghost_NeuralParasiteWhat,Ghost_NeuralParasiteWhat /// Ghost_NeuralParasiteWhat=10973
